id,name,address_01,address_02,city,id_geo_states,postal_code
3440,Sandshore Rd. Elementary School,498 SANDSHORE  ROAD,,BUDD LAKE,37,7828
4364,Sandyston Walpack Consolidated School,100 ROUTE 560,,Layton,37,7851
2401,SAYEN ELEMENTARY SCHOOL,3333 NOTTINGHAM WAY,,Hamilton,37,08690-2603
2792,Sayreville Middle School,800 WASHINGTON ROAD,,Parlin,37,08859-1050
2794,Sayreville War Memorial High School,820 WASHINGTON ROAD,,Parlin,37,08859-1050
3872,School # 16,657 Main Av.,,Passaic,37,7055
3874,School # 17,95-99 Dayton Ave.,,Passaic,37,7055
3876,School # 2,48 Bergen St.,,Passaic,37,7055
3878,School # 5,168 Monroe St.,,Passaic,37,7055
3802,School #1,158 PARK SLOPE,,Clifton,37,7011
3804,School #11,147 MERSELIS AVENUE,,Clifton,37,7011
3806,School #12,165 CLIFTON AVENUE,,Clifton,37,7011
3808,School #13,782 VAN HOUTEN AVENUE,,Clifton,37,7013
3810,School #14,99 ST  ANDREWS BOULEVARD,,Clifton,37,7012
3812,School #15,700 GREGORY AVENUE,,Clifton,37,7011
3814,School #16,755 GROVE STREET,,Clifton,37,7013
3816,School #17,361 LEXINGTON AVENUE,,Clifton,37,7011
3818,School #2,1270 VAN HOUTEN AVENUE,,Clifton,37,7013
201,School #3,397 PALISADE AVENUE,,CLIFFSIDE PARK,37,7010
3820,School #3,365 WASHINGTON AVENUE,,Clifton,37,7011
203,School #4,279 COLUMBIA AVENUE,,CLIFFSIDE PARK,37,7010
3822,School #4,194 WEST SECOND STREET,,Clifton,37,7011
205,School #5,214 DAY AVE,,CLIFFSIDE PARK,37,7010
3824,School #5,136 VALLEY ROAD,,Clifton,37,7013
207,School #6,440 OAKDENE AVE,,CLIFFSIDE PARK,37,7010
3826,School #8,41 OAK STREET,,Clifton,37,7014
3828,School #9,25 BRIGHTON ROAD,,Clifton,37,7012
3928,SCHOOL 1,1 EAST 32ND STREET,,Paterson,37,7514
3930,SCHOOL 10,48 MERCER STREET,,Paterson,37,07524-2429
3932,SCHOOL 11 (Newcomers),350 MARKET STREET,,Paterson,37,07501-2245
3934,SCHOOL 12,121 NORTH SECOND STREET,,Paterson,37,7522
3936,SCHOOL 13,690 EAST 23RD ST,,Paterson,37,7504
3938,SCHOOL 14,522 UNION AVENUE,,Paterson,37,7522
3940,SCHOOL 15,98 OAK STREET,,Paterson,37,7501
3942,SCHOOL 18,51 E  18TH STREET,,Paterson,37,7524
3944,SCHOOL 19,31 JAMES STREET,,Paterson,37,7502
3946,SCHOOL 2,22 PASSAIC STREET,,Paterson,37,7501
3948,SCHOOL 20,500 EAST 37TH STREET,,Paterson,37,07504-1739
3950,SCHOOL 21,322 TENTH AVENUE,,Paterson,37,7514
3952,SCHOOL 24,50 NINETEENTH AVENUE,,Paterson,37,7513
3954,SCHOOL 25,287 TRENTON AVENUE,,Paterson,37,7503
3956,SCHOOL 26,1 EAST 32ND STREET,,Paterson,37,7514
3958,SCHOOL 27,250 RICHMOND AVE,,Paterson,37,7502
3960,SCHOOL 28,200 PRESIDENTIAL BOULEVARD,,Paterson,37,7522
3962,SCHOOL 29,88 DANFORTH AVENUE,,Paterson,37,7501
3964,SCHOOL 3,448 MAIN STREET,,Paterson,37,07501-2818
3966,SCHOOL 5,430 TOTOWA AVENUE,,Paterson,37,07502-2135
3968,SCHOOL 6/ACADEMY OF PERFORMING ARTS,137 CARROLL STREET,,Paterson,37,7501
3970,SCHOOL 7,106 RAMSEY STREET,,Paterson,37,7501
3972,SCHOOL 8,35 CHADWICK STREET,,Paterson,37,07503-3107
6056,School Name,,,,37,Zip C
310,School No. 1,250 HOYM STREET,,FORT LEE,37,7024
312,School No. 2,2047 JONES ROAD,,FORT LEE,37,7024
314,School No. 3,2405 SECOND STREET,,FORT LEE,37,7024
316,School No. 4,1193 ANDERSON AVE,,FORT LEE,37,07024-1761
3974,SCHOOL OF ARCHITECTURE AND CONSTRUCTION ,61-127 PREAKNESS AVENUE,,Paterson,37,7502
3976,SCHOOL OF BUISINESS TECHNOLOGY,61-127 PREAKNESS AVENUE,,Paterson,37,7502
3978,"SCHOOL OF CULINARY ARTS, HOSPITALITY AND",150 PARK AVENUE,,Paterson,37,7501
3980,SCHOOL OF EARTH AND SPACE SCIENCE,201 MEMORIAL DRIVE,,Paterson,37,7505
3982,SCHOOL OF EDUCATION AND TRAINING,61-127 PREAKNESS AVENUE,,Paterson,37,7502
3984,SCHOOL OF GOVERNMENT &amp; PUBLIC ADMINI,150 PARK AVENUE,,Paterson,37,7501
3994,School of Health Science,5-7 Colt St,,Paterson,37,7505
3986,SCHOOL OF INFORMATION TECHNOLOGY,150 PARK AVENUE,,Paterson,37,7501
3988,"SCHOOL OF SCIENCE, TECHNOLOGY, ENGINEERI",61-127 PREAKNESS AVENUE,,Paterson,37,7502
4628,School One,563 WILLOW AVENUE,,SCOTCH PLAINS,37,7076
3268,School Street School,720 BIRCH STREET,,Boonton,37,7005
2153,Schuyler Elementary School,644 FOREST ST,,Kearny,37,07032-3798
4046,SCHUYLER-COLFAX MIDDLE SCHOOL,1500 HAMBURG TURNPIKE,,Wayne,37,07470-4024
1715,SCIENCE PARK HIGH SCHOOL,260 NORFOLK STREET,,Newark,37,7102
4630,Scotch Plains-Fanwood High School,667 WESTFIELD ROAD,,SCOTCH PLAINS,37,7076
3218,Sea Girt Elementary School,451 Bell Place,,Sea Girt,37,08750-2599
105,Seaview Elementary School,2013 WABASH AVE,,Linwood,37,8221
2175,Secaucus High School,11 Mill Ridge Road,,Secaucus,37,7094
2177,Secaucus Middle School,11 Mill Ridge Road,,Secaucus,37,7094
235,Selzer ElementaryMiddle School,435 PROSPECT AVE,,Dumont,37,07628-1417
799,Seneca High School,110 CARRANZA ROAD,,Tabernacle,37,8088
1787,Seth Boyden Elementary Demonstration Sch,274 BOYDEN AVE,,Maplewood,37,07040-3010
1128,SEVENTH AVE,316 Seventh Avenue,,HADDON HEIGHTS,37,8035
1922,Sewell Elementary School,40 MCANALLY DR,,Sewell,37,8080
1864,Shady Lane Elementary School,130 PEACH STREET,,Westville,37,08093-9718
555,Shaler Academy,455 SHALER BOULEVARD,,Ridgefield,37,7657
3191,Shark River Hills Elementary School,312 BRIGHTON AVENUE,,Neptune,37,07753-5599
2460,Sharon School,234 SHARON ROAD,,Robbinsville,37,08691-9741
801,Shawnee High School,600 Tabernacle Road,,Medford,37,08055-9701
4618,Sherman Elementary School,375 E GRANT AVE,,ROSELLE PARK,37,7204
3501,Shongum School,9 ARROW PLACE,,Randolph,37,7869
3212,SHORE REGIONAL HIGH SCHOOL,132 MONMOUTH PARK HIGHWAY 36,,WEST LONG BRANCH,37,07764-1396
3214,Shrewsbury Borough Elementary School,20 OBRE PLACE,,Shrewsbury,37,07702-4124
699,Sicomac Elementary School,356 SICOMAC AVE,,Wyckoff,37,07481-2129
1223,Signal Hill School,33 Signal Hill Drive,,Voorhees,37,08043-9545
3768,Silver Bay Elementary School,100 SILVER BAY ROAD,,TOMS RIVER,37,8753
1366,Silver Run Elementary School,301 SILVER RUN ROAD,,Millville,37,8332
3996,Single Gender Academy,45 SMITH STREET,,Paterson,37,7503
253,Sixteenth Avenue School,73 SIXTEENTH AVENUE,,ELMWOOD PARK,37,07407-2925
7518,SJCDA Proxy School,1 Main Street,NULL,Anytown,37,8080
3893,Skylands School fot the Exceptional,c/o Walter T Bergen School,,Bloomingdale,37,7403
2435,Slackwood Elementary School,2060 PRINCETON PIKE,,Lawrenceville,37,08648-4324
557,Slocum Skewes School,650 PROSPECT AVE,,Ridgefield,37,7657
4150,Smalley Elementary School,CHERRY AVE,,BOUND BROOK,37,8805
81,Smithville Elementary School,37 S  OLD PORT REPUBLIC ROAD,,Galloway,37,8205
4945,SOARING HEIGHTS CS,1 ROMAR AVENUE,,JERSEY CITY,37,7305
1507,Sojourner Truth Middle School,116 HAMILTON ST,,EAST ORANGE,37,07017-2912
1398,Solve D&amp;#39;Ippolito Elementary Scho,1578 NORTH VALLEY AVE,,Vineland,37,08360-2431
1207,Somerdale Park School,301 GRACE STREET,,Somerdale,37,8083
4264,SOMERSET COUNTY VOCATIONAL TECHNICAL HIG,14 VOGT DRIVE,,Bridgewater,37,08807-0350
4272,Somerset Elementary Academy,7 FINDERNE AVE,,Bridgewater,37,8807
4258,Somerset School,303 SOMERSET STREET,,N PLAINFIELD,37,7060
4274,Somerset Secondary Academy,7 FINDERNE AVE,,Bridgewater,37,8807
573,Somerville Elementary School,45 SOUTH PLEASANT AVE,,Ridgewood,37,7451
4266,Somerville High School,222 Davenport Street,,Somerville,37,08876-1515
4268,Somerville Middle School,51 WEST CLIFF STREET,,Somerville,37,08876-1903
2798,South Amboy Elementary,249 JOHN STREET,,SOUTH AMBOY,37,08879-1741
2800,South Amboy Middle/High School,200 GOVERNOR HAROLD G  HOFFMAN,,SOUTH AMBOY,37,8879
2820,South Brunswick High School,750 RIDGE ROAD,,MONMOUTH JUNCTION,37,08852-9721
1463,SOUTH END ELEMENTARY SCHOOL,116 HARPER TERR,,CEDAR GROVE,37,7009
1944,SOUTH HARRISON TOWNSHIP ELEMENTARY SCHOO,904 MULLICA HILL RD,,Harrisonville,37,08039-0112
2318,South Hunterdon Regional High School ,301 Mt Airy Harbourton Rd,,Lambertville,37,8530
130,SOUTH MAIN STREET ELEMENTARY SCHOOL,701 SOUTH MAIN STREET,,Pleasantville,37,08232-3223
1789,South Mountain Elementary/Annex,444  WEST SOUTH ORANGE AVE,,S ORANGE,37,07079-1234
1585,South Mountain School,2 SOUTHERN SLOPE DRIVE,,Millburn,37,7041
1791,South Orange Middle School,70 North Ridgewood Road,,S ORANGE,37,07079-1518
2833,South Plainfield High School,200 LAKE STREET,,SOUTH PLAINFIELD,37,7080
2835,South Plainfield Middle School,2201 PLAINFIELD AVENUE,,SOUTH PLAINFIELD,37,7080
2837,South River Elementary School,81 JOHNSON PLACE,,SOUTH RIVER,37,8882
2839,South River High School,11 MONTGOMERY STREET,,SOUTH RIVER,37,8882
2841,South River Middle School,3 MONTGOMERY STREET,,SOUTH RIVER,37,8882
